Date,Carrier,Type,Departure Airport,Departure City,Destination Airport,Destination City,dep_lat,dep_lon,dest_lat,dest_lon,Full Route,pair_key,tilt
2025-12-17,Eastern Air Express,B738,Valley Intl (KHRL),"Harlingen, TX",El Paso Intl (KELP),"El Paso, TX",26.2234764,-97.6623631,31.8058228,-106.3705379,"Alexandria, LA → Harlingen, TX → El Paso, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",El Paso Intl (KELP)|Valley Intl (KHRL),-90
2025-12-17,Eastern Air Express,B738,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"Alexandria, LA → Harlingen, TX → El Paso, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
2025-12-17,GlobalX,A320,Valley Intl (KHRL),"Harlingen, TX",Jacksonville Intl (KJAX),"Jacksonville, FL",26.2234764,-97.6623631,30.4943308,-81.6871496999999,"Harlingen, TX → Jacksonville, FL → El Paso, TX → Alexandria, LA",Jacksonville Intl (KJAX)|Valley Intl (KHRL),90
2025-12-17,GlobalX,A320,Jacksonville Intl (KJAX),"Jacksonville, FL",El Paso Intl (KELP),"El Paso, TX",30.4943308,-81.6871496999999,31.8058228,-106.3705379,"Harlingen, TX → Jacksonville, FL → El Paso, TX → Alexandria, LA",El Paso Intl (KELP)|Jacksonville Intl (KJAX),-90
2025-12-17,GlobalX,A320,El Paso Intl (KELP),"El Paso, TX",Alexandria Intl (KAEX),"Alexandria, LA",31.8058228,-106.3705379,31.3274006,-92.5451921,"Harlingen, TX → Jacksonville, FL → El Paso, TX → Alexandria, LA",Alexandria Intl (KAEX)|El Paso Intl (KELP),90
2025-12-17,GlobalX,A320,Alexandria Intl (KAEX),"Alexandria, LA",Baltimore/Washington Intl (KBWI),"Baltimore, MD",31.3274006,-92.5451921,39.1825364,-76.6694033,"Alexandria, LA → Baltimore, MD → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Baltimore/Washington Intl (KBWI),90
2025-12-17,GlobalX,A320,Baltimore/Washington Intl (KBWI),"Baltimore, MD",Tampa Intl (KTPA),"Tampa, FL",39.1825364,-76.6694033,27.9768646,-82.5302804,"Alexandria, LA → Baltimore, MD → Tampa, FL → Alexandria, LA",Baltimore/Washington Intl (KBWI)|Tampa Intl (KTPA),-90
2025-12-17,GlobalX,A320,Tampa Intl (KTPA),"Tampa, FL",Alexandria Intl (KAEX),"Alexandria, LA",27.9768646,-82.5302804,31.3274006,-92.5451921,"Alexandria, LA → Baltimore, MD → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Tampa Intl (KTPA),-90
2025-12-17,Big Horn,DH8A,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-17,Big Horn,DH8A,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-17,CSI Aviation,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-17,CSI Aviation,B190,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-17,,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-17,,B190,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-16,GlobalX,A320,Las Americas (SDQ / MDSD),"Santo Domingo, Dominican Republic",Luis Munoz Marin Intl (SJU / TJSJ),"San Juan, Puerto Rico",18.4626178,-69.9360923999999,18.4395043,-65.9992275,"Alexandria, LA → Miami, FL → Santo Domingo, Dominican Republic → San Juan, Puerto Rico → Miami, FL",Las Americas (SDQ / MDSD)|Luis Munoz Marin Intl (SJU / TJSJ),90
2025-12-16,GlobalX,A320,Alexandria Intl (KAEX),"Alexandria, LA",Lake City Gateway (KLCQ),"Lake City, FL",31.3274006,-92.5451921,30.1868315,-82.580983,"Alexandria, LA → Lake City, FL → El Paso, TX → Alexandria, LA",Alexandria Intl (KAEX)|Lake City Gateway (KLCQ),90
2025-12-16,GlobalX,A320,Lake City Gateway (KLCQ),"Lake City, FL",El Paso Intl (KELP),"El Paso, TX",30.1868315,-82.580983,31.8058228,-106.3705379,"Alexandria, LA → Lake City, FL → El Paso, TX → Alexandria, LA",El Paso Intl (KELP)|Lake City Gateway (KLCQ),-90
2025-12-16,GlobalX,A320,El Paso Intl (KELP),"El Paso, TX",Alexandria Intl (KAEX),"Alexandria, LA",31.8058228,-106.3705379,31.3274006,-92.5451921,"Alexandria, LA → Lake City, FL → El Paso, TX → Alexandria, LA",Alexandria Intl (KAEX)|El Paso Intl (KELP),90
2025-12-16,Eastern Air Express,B738,Alexandria Intl (KAEX),"Alexandria, LA",Jacksonville Intl (KJAX),"Jacksonville, FL",31.3274006,-92.5451921,30.4943308,-81.6871496999999,"Alexandria, LA → Jacksonville, FL → Alexandria, LA",Alexandria Intl (KAEX)|Jacksonville Intl (KJAX),90
2025-12-16,Eastern Air Express,B738,Jacksonville Intl (KJAX),"Jacksonville, FL",Alexandria Intl (KAEX),"Alexandria, LA",30.4943308,-81.6871496999999,31.3274006,-92.5451921,"Alexandria, LA → Jacksonville, FL → Alexandria, LA",Alexandria Intl (KAEX)|Jacksonville Intl (KJAX),-90
2025-12-16,Eastern Air Express,B737,El Paso Intl (KELP),"El Paso, TX",Minneapolis/St Paul Intl (KMSP),"Minneapolis, MN",31.8058228,-106.3705379,44.8850593,-93.2144354,"El Paso, TX → Minneapolis, MN → Omaha, NE → Harlingen, TX → El Paso, TX",El Paso Intl (KELP)|Minneapolis/St Paul Intl (KMSP),90
2025-12-16,Eastern Air Express,B737,Minneapolis/St Paul Intl (KMSP),"Minneapolis, MN",Eppley Airfield (KOMA),"Omaha, NE",44.8850593,-93.2144354,41.3014753,-95.8945207,"El Paso, TX → Minneapolis, MN → Omaha, NE → Harlingen, TX → El Paso, TX",Eppley Airfield (KOMA)|Minneapolis/St Paul Intl (KMSP),-90
2025-12-16,Eastern Air Express,B737,Eppley Airfield (KOMA),"Omaha, NE",Valley Intl (KHRL),"Harlingen, TX",41.3014753,-95.8945207,26.2234764,-97.6623631,"El Paso, TX → Minneapolis, MN → Omaha, NE → Harlingen, TX → El Paso, TX",Eppley Airfield (KOMA)|Valley Intl (KHRL),-90
2025-12-16,Eastern Air Express,B737,Valley Intl (KHRL),"Harlingen, TX",El Paso Intl (KELP),"El Paso, TX",26.2234764,-97.6623631,31.8058228,-106.3705379,"El Paso, TX → Minneapolis, MN → Omaha, NE → Harlingen, TX → El Paso, TX",El Paso Intl (KELP)|Valley Intl (KHRL),-90
2025-12-16,Eastern Air Express,B737,El Paso Intl (KELP),"El Paso, TX",Dallas Love Field (KDAL),"Dallas, TX",31.8058228,-106.3705379,32.8438345,-96.8484951,"El Paso, TX → Dallas, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",Dallas Love Field (KDAL)|El Paso Intl (KELP),90
2025-12-16,Eastern Air Express,B737,Dallas Love Field (KDAL),"Dallas, TX",Alexandria Intl (KAEX),"Alexandria, LA",32.8438345,-96.8484951,31.3274006,-92.5451921,"El Paso, TX → Dallas, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",Alexandria Intl (KAEX)|Dallas Love Field (KDAL),90
2025-12-16,Eastern Air Express,B737,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"El Paso, TX → Dallas, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
2025-12-16,Eastern Air Express,B737,Valley Intl (KHRL),"Harlingen, TX",El Paso Intl (KELP),"El Paso, TX",26.2234764,-97.6623631,31.8058228,-106.3705379,"El Paso, TX → Dallas, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",El Paso Intl (KELP)|Valley Intl (KHRL),-90
2025-12-16,Eastern Air Express,B737,Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",Willow Run (KYIP),"Ypsilanti, MI",41.0997678,-80.6477199999999,42.2349913,-83.5459542999999,"Youngstown, OH → Ypsilanti, MI → Kansas City, MO → Alexandria, LA → Youngstown, OH",Willow Run (KYIP)|Youngstown/Warren Rgnl (KYNG),-90
2025-12-16,Eastern Air Express,B737,Willow Run (KYIP),"Ypsilanti, MI",Kansas City Intl (KMCI),"Kansas City, MO",42.2349913,-83.5459542999999,39.3014091,-94.7104536,"Youngstown, OH → Ypsilanti, MI → Kansas City, MO → Alexandria, LA → Youngstown, OH",Kansas City Intl (KMCI)|Willow Run (KYIP),-90
2025-12-16,Eastern Air Express,B737,Kansas City Intl (KMCI),"Kansas City, MO",Alexandria Intl (KAEX),"Alexandria, LA",39.3014091,-94.7104536,31.3274006,-92.5451921,"Youngstown, OH → Ypsilanti, MI → Kansas City, MO → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Kansas City Intl (KMCI),90
2025-12-16,Eastern Air Express,B737,Alexandria Intl (KAEX),"Alexandria, LA",Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",31.3274006,-92.5451921,41.0997678,-80.6477199999999,"Youngstown, OH → Ypsilanti, MI → Kansas City, MO → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Youngstown/Warren Rgnl (KYNG),90
2025-12-16,Eastern Air Express,B738,Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",Richmond Intl (KRIC),"Richmond, VA",41.0997678,-80.6477199999999,37.5105562,-77.3266991,"Youngstown, OH → Richmond, VA → Harlingen, TX → Youngstown, OH",Richmond Intl (KRIC)|Youngstown/Warren Rgnl (KYNG),90
2025-12-16,Eastern Air Express,B738,Richmond Intl (KRIC),"Richmond, VA",Valley Intl (KHRL),"Harlingen, TX",37.5105562,-77.3266991,26.2234764,-97.6623631,"Youngstown, OH → Richmond, VA → Harlingen, TX → Youngstown, OH",Richmond Intl (KRIC)|Valley Intl (KHRL),-90
2025-12-16,Eastern Air Express,B738,Valley Intl (KHRL),"Harlingen, TX",Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",26.2234764,-97.6623631,41.0997678,-80.6477199999999,"Youngstown, OH → Richmond, VA → Harlingen, TX → Youngstown, OH",Valley Intl (KHRL)|Youngstown/Warren Rgnl (KYNG),90
2025-12-16,Key Lime,E45X,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"Alexandria, LA → Harlingen, TX",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
2025-12-16,Key Lime,E45X,Nashville Intl (KBNA),"Nashville, TN",Alexandria Intl (KAEX),"Alexandria, LA",36.1308194,-86.6661144999999,31.3274006,-92.5451921,"Nashville, TN → Alexandria, LA → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Nashville Intl (KBNA),-90
2025-12-16,Key Lime,E45X,Alexandria Intl (KAEX),"Alexandria, LA",Tampa Intl (KTPA),"Tampa, FL",31.3274006,-92.5451921,27.9768646,-82.5302804,"Nashville, TN → Alexandria, LA → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Tampa Intl (KTPA),90
2025-12-16,Key Lime,E45X,Tampa Intl (KTPA),"Tampa, FL",Alexandria Intl (KAEX),"Alexandria, LA",27.9768646,-82.5302804,31.3274006,-92.5451921,"Nashville, TN → Alexandria, LA → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Tampa Intl (KTPA),-90
2025-12-16,Avelo,B738,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",Denver Intl (KDEN),"Denver, CO",33.3089787,-111.6559353,39.8563486,-104.6764061,"Phoenix, AZ → Denver, CO → Las Vegas, NV → Phoenix, AZ",Denver Intl (KDEN)|Phoenix-Mesa Gateway (KIWA),90
2025-12-16,Avelo,B738,Denver Intl (KDEN),"Denver, CO",Harry Reid Intl (KLAS),"Las Vegas, NV",39.8563486,-104.6764061,36.0830907,-115.1482238,"Phoenix, AZ → Denver, CO → Las Vegas, NV → Phoenix, AZ",Denver Intl (KDEN)|Harry Reid Intl (KLAS),-90
2025-12-16,Avelo,B738,Harry Reid Intl (KLAS),"Las Vegas, NV",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",36.0830907,-115.1482238,33.3089787,-111.6559353,"Phoenix, AZ → Denver, CO → Las Vegas, NV → Phoenix, AZ",Harry Reid Intl (KLAS)|Phoenix-Mesa Gateway (KIWA),90
2025-12-16,Avelo,B738,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",Boeing Field Intl (KBFI),"Seattle, WA",33.3089787,-111.6559353,47.5369043,-122.3038555,"Phoenix, AZ → Seattle, WA → Phoenix, AZ",Boeing Field Intl (KBFI)|Phoenix-Mesa Gateway (KIWA),-90
2025-12-16,Avelo,B738,Boeing Field Intl (KBFI),"Seattle, WA",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",47.5369043,-122.3038555,33.3089787,-111.6559353,"Phoenix, AZ → Seattle, WA → Phoenix, AZ",Boeing Field Intl (KBFI)|Phoenix-Mesa Gateway (KIWA),90
2025-12-16,GlobalX,A320,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"Alexandria, LA → Newark, NJ → Alexandria, LA → Harlingen, TX",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
2025-12-16,GlobalX,A320,Alexandria Intl (KAEX),"Alexandria, LA",Newark Liberty Intl (KEWR),"Newark, NJ",31.3274006,-92.5451921,40.6884837,-74.1768635999999,"Alexandria, LA → Newark, NJ → Alexandria, LA → Harlingen, TX",Alexandria Intl (KAEX)|Newark Liberty Intl (KEWR),90
2025-12-16,GlobalX,A320,Newark Liberty Intl (KEWR),"Newark, NJ",Alexandria Intl (KAEX),"Alexandria, LA",40.6884837,-74.1768635999999,31.3274006,-92.5451921,"Alexandria, LA → Newark, NJ → Alexandria, LA → Harlingen, TX",Alexandria Intl (KAEX)|Newark Liberty Intl (KEWR),-90
2025-12-16,US Coast Guard,C27J,Dupage (KDPA),"Chicago, IL",Valley Intl (KHRL),"Harlingen, TX",41.9067614,-88.2549078999999,26.2234764,-97.6623631,"Chicago, IL → Harlingen, TX → San Diego, CA → 0",Dupage (KDPA)|Valley Intl (KHRL),-90
2025-12-16,US Coast Guard,C27J,Dupage (KDPA),"Chicago, IL",Alexandria Intl (KAEX),"Alexandria, LA",41.9067614,-88.2549078999999,31.3274006,-92.5451921,"New Orleans, LA → Chicago, IL → Alexandria, LA",Alexandria Intl (KAEX)|Dupage (KDPA),-90
2025-12-16,US Coast Guard,C27J,Dupage (KDPA),"Chicago, IL",Alexandria Intl (KAEX),"Alexandria, LA",41.9067614,-88.2549078999999,31.3274006,-92.5451921,"Chicago, IL → Alexandria, LA → Alexandria, LA",Alexandria Intl (KAEX)|Dupage (KDPA),-90
2025-12-16,Big Horn,DH8A,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-16,Big Horn,DH8A,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-16,CSI Aviation,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-16,CSI Aviation,B190,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-16,,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-16,,B190,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-15,GlobalX,A320,Opa-locka Executive (KOPF),"Miami, FL",Jacksonville Intl (KJAX),"Jacksonville, FL",25.9092857,-80.2683641,30.4943308,-81.6871496999999,"Miami, FL → Jacksonville, FL → Harlingen, TX → Alexandria, LA",Jacksonville Intl (KJAX)|Opa-locka Executive (KOPF),-90
2025-12-15,GlobalX,A320,Jacksonville Intl (KJAX),"Jacksonville, FL",Valley Intl (KHRL),"Harlingen, TX",30.4943308,-81.6871496999999,26.2234764,-97.6623631,"Miami, FL → Jacksonville, FL → Harlingen, TX → Alexandria, LA",Jacksonville Intl (KJAX)|Valley Intl (KHRL),-90
2025-12-15,GlobalX,A320,Valley Intl (KHRL),"Harlingen, TX",Alexandria Intl (KAEX),"Alexandria, LA",26.2234764,-97.6623631,31.3274006,-92.5451921,"Miami, FL → Jacksonville, FL → Harlingen, TX → Alexandria, LA",Alexandria Intl (KAEX)|Valley Intl (KHRL),90
2025-12-15,GlobalX,A320,Robert Gray Aaf (Fort Cavazos) (KGRK),"Killeen, TX",Baltimore/Washington Intl (KBWI),"Baltimore, MD",31.0616824,-97.8210702,39.1825364,-76.6694033,"Killeen, TX → Baltimore, MD → Tampa, FL → Alexandria, LA",Baltimore/Washington Intl (KBWI)|Robert Gray Aaf (Fort Cavazos) (KGRK),90
2025-12-15,GlobalX,A320,Baltimore/Washington Intl (KBWI),"Baltimore, MD",Tampa Intl (KTPA),"Tampa, FL",39.1825364,-76.6694033,27.9768646,-82.5302804,"Killeen, TX → Baltimore, MD → Tampa, FL → Alexandria, LA",Baltimore/Washington Intl (KBWI)|Tampa Intl (KTPA),-90
2025-12-15,GlobalX,A320,Tampa Intl (KTPA),"Tampa, FL",Alexandria Intl (KAEX),"Alexandria, LA",27.9768646,-82.5302804,31.3274006,-92.5451921,"Killeen, TX → Baltimore, MD → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Tampa Intl (KTPA),-90
2025-12-15,Eastern Air Express,B738,El Paso Intl (KELP),"El Paso, TX",Jacksonville Intl (KJAX),"Jacksonville, FL",31.8058228,-106.3705379,30.4943308,-81.6871496999999,"El Paso, TX → Jacksonville, FL → Alexandria, LA",El Paso Intl (KELP)|Jacksonville Intl (KJAX),90
2025-12-15,Eastern Air Express,B738,Jacksonville Intl (KJAX),"Jacksonville, FL",Alexandria Intl (KAEX),"Alexandria, LA",30.4943308,-81.6871496999999,31.3274006,-92.5451921,"El Paso, TX → Jacksonville, FL → Alexandria, LA",Alexandria Intl (KAEX)|Jacksonville Intl (KJAX),-90
2025-12-15,GlobalX,A320,Valley Intl (KHRL),"Harlingen, TX",Newark Liberty Intl (KEWR),"Newark, NJ",26.2234764,-97.6623631,40.6884837,-74.1768635999999,"Harlingen, TX → Newark, NJ → Alexandria, LA",Newark Liberty Intl (KEWR)|Valley Intl (KHRL),90
2025-12-15,GlobalX,A320,Newark Liberty Intl (KEWR),"Newark, NJ",Alexandria Intl (KAEX),"Alexandria, LA",40.6884837,-74.1768635999999,31.3274006,-92.5451921,"Harlingen, TX → Newark, NJ → Alexandria, LA",Alexandria Intl (KAEX)|Newark Liberty Intl (KEWR),-90
2025-12-15,GlobalX,A321,Alexandria Intl (KAEX),"Alexandria, LA",Lawson AAF (Fort Benning) (KLSF),"Columbus, GA",31.3274006,-92.5451921,32.337925,-84.992149,"Alexandria, LA → Columbus, GA → Harlingen, TX → Alexandria, LA",Alexandria Intl (KAEX)|Lawson AAF (Fort Benning) (KLSF),90
2025-12-15,GlobalX,A321,Lawson AAF (Fort Benning) (KLSF),"Columbus, GA",Valley Intl (KHRL),"Harlingen, TX",32.337925,-84.992149,26.2234764,-97.6623631,"Alexandria, LA → Columbus, GA → Harlingen, TX → Alexandria, LA",Lawson AAF (Fort Benning) (KLSF)|Valley Intl (KHRL),-90
2025-12-15,GlobalX,A321,Valley Intl (KHRL),"Harlingen, TX",Alexandria Intl (KAEX),"Alexandria, LA",26.2234764,-97.6623631,31.3274006,-92.5451921,"Alexandria, LA → Columbus, GA → Harlingen, TX → Alexandria, LA",Alexandria Intl (KAEX)|Valley Intl (KHRL),90
2025-12-15,Eastern Air Express,B733,El Paso Intl (KELP),"El Paso, TX",Alexandria Intl (KAEX),"Alexandria, LA",31.8058228,-106.3705379,31.3274006,-92.5451921,"El Paso, TX → Alexandria, LA → Phoenix, AZ → Alexandria, LA",Alexandria Intl (KAEX)|El Paso Intl (KELP),90
2025-12-15,Eastern Air Express,B733,Alexandria Intl (KAEX),"Alexandria, LA",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",31.3274006,-92.5451921,33.3089787,-111.6559353,"El Paso, TX → Alexandria, LA → Phoenix, AZ → Alexandria, LA",Alexandria Intl (KAEX)|Phoenix-Mesa Gateway (KIWA),-90
2025-12-15,Eastern Air Express,B733,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",Alexandria Intl (KAEX),"Alexandria, LA",33.3089787,-111.6559353,31.3274006,-92.5451921,"El Paso, TX → Alexandria, LA → Phoenix, AZ → Alexandria, LA",Alexandria Intl (KAEX)|Phoenix-Mesa Gateway (KIWA),90
2025-12-15,Eastern Air Express,B738,Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",Indianapolis Intl (KIND),"Indianapolis, IN",41.0997678,-80.6477199999999,39.7222991999999,-86.3019561999999,"Youngstown, OH → Indianapolis, IN → Alexandria, LA → Youngstown, OH",Indianapolis Intl (KIND)|Youngstown/Warren Rgnl (KYNG),-90
2025-12-15,Eastern Air Express,B738,Indianapolis Intl (KIND),"Indianapolis, IN",Alexandria Intl (KAEX),"Alexandria, LA",39.7222991999999,-86.3019561999999,31.3274006,-92.5451921,"Youngstown, OH → Indianapolis, IN → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Indianapolis Intl (KIND),-90
2025-12-15,Eastern Air Express,B738,Alexandria Intl (KAEX),"Alexandria, LA",Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",31.3274006,-92.5451921,41.0997678,-80.6477199999999,"Youngstown, OH → Indianapolis, IN → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Youngstown/Warren Rgnl (KYNG),90
2025-12-15,Key Lime,E45X,Robert Gray Aaf (Fort Cavazos) (KGRK),"Killeen, TX",Baltimore/Washington Intl (KBWI),"Baltimore, MD",31.0616824,-97.8210702,39.1825364,-76.6694033,"Killeen, TX → Baltimore, MD → Jacksonville, FL → Harlingen, TX",Baltimore/Washington Intl (KBWI)|Robert Gray Aaf (Fort Cavazos) (KGRK),90
2025-12-15,Key Lime,E45X,Baltimore/Washington Intl (KBWI),"Baltimore, MD",Jacksonville Intl (KJAX),"Jacksonville, FL",39.1825364,-76.6694033,30.4943308,-81.6871496999999,"Killeen, TX → Baltimore, MD → Jacksonville, FL → Harlingen, TX",Baltimore/Washington Intl (KBWI)|Jacksonville Intl (KJAX),-90
2025-12-15,Key Lime,E45X,Jacksonville Intl (KJAX),"Jacksonville, FL",Valley Intl (KHRL),"Harlingen, TX",30.4943308,-81.6871496999999,26.2234764,-97.6623631,"Killeen, TX → Baltimore, MD → Jacksonville, FL → Harlingen, TX",Jacksonville Intl (KJAX)|Valley Intl (KHRL),-90
2025-12-15,Key Lime,E45X,Robert Gray Aaf (Fort Cavazos) (KGRK),"Killeen, TX",Nashville Intl (KBNA),"Nashville, TN",31.0616824,-97.8210702,36.1308194,-86.6661144999999,"Killeen, TX → Nashville, TN",Nashville Intl (KBNA)|Robert Gray Aaf (Fort Cavazos) (KGRK),90
2025-12-15,Avelo,B738,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",So California Logistics (KVCV),"Victorville, CA",33.3089787,-111.6559353,34.5839839,-117.3787064,"Phoenix, AZ → Victorville, CA → San Diego, CA → El Paso, TX → Phoenix, AZ",Phoenix-Mesa Gateway (KIWA)|So California Logistics (KVCV),-90
2025-12-15,Avelo,B738,So California Logistics (KVCV),"Victorville, CA",Miramar Mcas (Joe Foss Fld) (KNKX),"San Diego, CA",34.5839839,-117.3787064,32.8744638999999,-117.1378713,"Phoenix, AZ → Victorville, CA → San Diego, CA → El Paso, TX → Phoenix, AZ",Miramar Mcas (Joe Foss Fld) (KNKX)|So California Logistics (KVCV),90
2025-12-15,Avelo,B738,Miramar Mcas (Joe Foss Fld) (KNKX),"San Diego, CA",El Paso Intl (KELP),"El Paso, TX",32.8744638999999,-117.1378713,31.8058228,-106.3705379,"Phoenix, AZ → Victorville, CA → San Diego, CA → El Paso, TX → Phoenix, AZ",El Paso Intl (KELP)|Miramar Mcas (Joe Foss Fld) (KNKX),90
2025-12-15,Avelo,B738,El Paso Intl (KELP),"El Paso, TX",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",31.8058228,-106.3705379,33.3089787,-111.6559353,"Phoenix, AZ → Victorville, CA → San Diego, CA → El Paso, TX → Phoenix, AZ",El Paso Intl (KELP)|Phoenix-Mesa Gateway (KIWA),-90
2025-12-15,Avelo,B738,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",Alexandria Intl (KAEX),"Alexandria, LA",33.3089787,-111.6559353,31.3274006,-92.5451921,"Phoenix, AZ → Alexandria, LA → Harlingen, TX → Phoenix, AZ",Alexandria Intl (KAEX)|Phoenix-Mesa Gateway (KIWA),90
2025-12-15,Avelo,B738,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"Phoenix, AZ → Alexandria, LA → Harlingen, TX → Phoenix, AZ",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
